analysis_id,q34357s149dn40m
gene_symbol,Tnni1
pvalue,0.05801988
parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:105073
