analysis_id,d5b403c8kc35f35
gene_symbol,Secisbp2l
pvalue,0.3482338
mouse_strain,C57BL
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
