gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
analysis_id,04cn70i269q1gh0
gene_accession_id,MGI:1921442
pvalue,0.2693206
mouse_life_stage,Early adult
parameter_name,Average duration
