parameter_name,Platelet count
analysis_id,80004fts5reisa9
pvalue,0.1529379
mouse_strain,C57BL
gene_symbol,Lurap1
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
