gene_symbol,Morn5
analysis_id,940dl08hkw426qz
parameter_id,UCD_OWT_003_001
pvalue,0.7467239
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_name,Spleen weight
