parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
pvalue,0.8418659
gene_symbol,Cd52
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
analysis_id,329s1f66pb66r1c
