parameter_name,QT
gene_symbol,Slc39a10
parameter_id,IMPC_ECG_028_001
pvalue,0.2049667
mouse_strain,C57BL
analysis_id,622k144frq34v63
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
