analysis_id,w1bblkri03jg309
mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
pvalue,0.2654392
gene_symbol,Ntmt2
