mouse_life_stage,Middle aged adult
parameter_name,IgD+ mature B cell number
gene_symbol,Slc30a4
pvalue,0.3692648
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,05y9h3l08o0i629
parameter_id,MGP_PBI_035_001
