parameter_name,Eosinophil cell count
pvalue,0.5070008
mouse_strain,C57BL
analysis_id,t82n93z4i37obm4
gene_symbol,Rab17
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
