analysis_id,0m708is0i983029
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:1919949
pvalue,0.1477868
gene_symbol,Lime1
parameter_name,Respiration Rate
mouse_life_stage,Early adult
