gene_symbol,Amigo1
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:2653612
pvalue,0.2450626
mouse_life_stage,Early adult
analysis_id,zuh87f6knmqwhl8
mouse_strain,C57BL
parameter_id,MGP_MLN_064_001
