gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
pvalue,0.6512665
parameter_name,Macrophages - % of CD45+
analysis_id,7008467ejd8uq56
