analysis_id,0dh95ee3q61s3b8
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
pvalue,0.9063277
parameter_id,MGP_IMM_017_001
gene_symbol,Sema6c
mouse_strain,C57BL
gene_accession_id,MGI:1338032
