parameter_name,Zygomatic bone
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
pvalue,0.2895223
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
analysis_id,80byw3jfj6i5fcz
gene_symbol,Exd1
