parameter_id,IMPC_XRY_066_001
gene_symbol,Rhbg
mouse_life_stage,Early adult
pvalue,0.3908971
mouse_strain,C57BL
parameter_name,Sacral processes
analysis_id,222y0lt68a09ji4
gene_accession_id,MGI:1927379
