analysis_id,a81f92pv48k0lwu
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.3318547
mouse_strain,C57BL
gene_accession_id,MGI:1913284
