gene_symbol,Amigo1
parameter_name,Cornea vascularisation
pvalue,0.419526
gene_accession_id,MGI:2653612
parameter_id,ESLIM_014_001_008
analysis_id,600410250rc34lu
mouse_life_stage,Early adult
mouse_strain,C57BL
