gene_symbol,Lamb3
pvalue,0.3241278
analysis_id,zbj2184o105u52z
mouse_strain,C57BL
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
