parameter_id,M-G-P_014_001_009
analysis_id,523ug8wt94y887c
pvalue,0.05884546
parameter_name,lens
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
