parameter_name,Snout size
pvalue,0.568245
gene_symbol,Bpifa3
parameter_id,IMPC_CSD_028_001
analysis_id,3ix6y2y0j4768z2
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,C57BL
