analysis_id,m5836b27f60e6ou
gene_symbol,Mecom
pvalue,0.9864392
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
parameter_name,Weight
gene_accession_id,MGI:95457
mouse_strain,C3H
