parameter_name,Dark side time spent
pvalue,0.5003201
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_strain,C57BL
analysis_id,98491tqwq3365wg
