analysis_id,4b85ujbz6gl1y59
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.1277238
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
gene_symbol,Snap23
