gene_symbol,Atf3
pvalue,0.3750854
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_013_001
analysis_id,3cm9y2lrjfii1iq
gene_accession_id,MGI:109384
mouse_strain,C57BL
