parameter_name,Limb grasping
gene_accession_id,MGI:1346344
pvalue,0.6593353
analysis_id,49tdiep4up2b6of
gene_symbol,Nr0b2
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
mouse_strain,B6J
