parameter_id,HRWLLA_FEA_015_001
analysis_id,ds0n0t4gv9168ee
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Traf6
pvalue,0.2292079
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:108072
