analysis_id,4ccxcyq79h762by
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
pvalue,0.6895547
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_name,QT
