analysis_id,2iw0wl5z1773b81
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8383755
parameter_id,IMPC_ABR_004_001
gene_symbol,Kcng1
parameter_name,6kHz-evoked ABR Threshold
