analysis_id,y4i3d56lo04vixv
pvalue,0.4714389
gene_accession_id,MGI:1913506
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
