analysis_id,576xlc79k2chn87
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.6760154
