parameter_name,Body position
pvalue,0.9122399
analysis_id,q5rf90e97f22057
gene_symbol,Trp53i11
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_id,ESLIM_008_001_001
