analysis_id,w584n886e5lxe3h
parameter_name,110dB startle magnitude
gene_symbol,Cisd2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,ESLIM_011_001_006
pvalue,0.909889
