analysis_id,lrdk735jp302866
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
parameter_name,Glucose response AUC
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
pvalue,0.2975273
gene_symbol,Zc2hc1a
