analysis_id,x8wjg1505p243li
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_symbol,Cldn19
pvalue,0.9485121
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
