parameter_name,Center permanence time
pvalue,0.7764554
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
analysis_id,v4t5kmd287249bv
mouse_strain,C57BL
