parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,mn7sz21ocenq93g
parameter_name,Fat/Body weight
gene_symbol,Steap3
pvalue,0.9264524
