parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
pvalue,0.9935108
mouse_strain,C57BL
parameter_name,Liver weight
gene_accession_id,MGI:109356
analysis_id,75kv97cg3808847
gene_symbol,Snap23
