analysis_id,6udk4381hxx62fv
parameter_name,CD11b-low cDC - % of CD45+
mouse_strain,C57BL
pvalue,0.9411894
parameter_id,MGP_IMM_130_001
gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
