gene_symbol,Bmp7
pvalue,0.8200895
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:103302
analysis_id,vype4q54z47dgc4
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
