parameter_id,JAXLA_CBC_015_001
pvalue,0.9001453
mouse_strain,C57BL
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
analysis_id,6k139r98d4301y9
parameter_name,Total cholesterol
