analysis_id,43t2095626b7dk4
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.8508768
gene_symbol,Bcs1l
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
mouse_life_stage,E9.5
