parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
analysis_id,jyk3a38q1yoeucb
pvalue,0.8788673
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
