parameter_name,Placenta Size
gene_accession_id,MGI:1915087
analysis_id,v2z92w7vmoo822z
mouse_life_stage,E9.5
parameter_id,IMPC_GPP_004_001
pvalue,0.2829776
gene_symbol,Tiprl
mouse_strain,C57BL
