parameter_name,Monocytes
analysis_id,f98318f6jf7hr57
gene_symbol,Car13
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1931322
pvalue,0.7663547
