parameter_name,Body position
mouse_strain,C57BL
pvalue,0.4566736
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:3033992
analysis_id,6v4r18c7842hcj2
gene_symbol,Cldn19
mouse_life_stage,Early adult
