analysis_id,75j89sex98p6717
parameter_name,Limb grasping
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6595159
parameter_id,ESLIM_008_001_017
