parameter_name,White blood cell-count
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,u88346568jwy84f
gene_symbol,Clvs1
pvalue,0.5872129
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_001
