analysis_id,yyo0c99zhq7p4u2
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
pvalue,0.2900667
mouse_strain,C57BL
