gene_symbol,Duoxa2
analysis_id,u61yv8yvi1a247i
mouse_strain,C57BL
parameter_name,Center resting time
mouse_life_stage,Early adult
pvalue,0.2003416
gene_accession_id,MGI:1914061
parameter_id,JAX_OFD_015_001
