analysis_id,2rp54n9nq25j773
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.711981
mouse_strain,C57BL
gene_accession_id,MGI:2674093
gene_symbol,Psd4
