parameter_name,PP1 startle magnitude
gene_symbol,Hpca
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1336200
mouse_strain,C57BL
analysis_id,36evgg72zrkxf1c
pvalue,0.3018424
