analysis_id,3w9h78394gr42nl
pvalue,0.3513287
mouse_life_stage,Middle aged adult
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
