gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.4973768
mouse_strain,129SV
parameter_id,IMPC_CSD_008_001
analysis_id,9ugs1249zn1g45r
gene_accession_id,MGI:99605
parameter_name,Coat - color pattern - back
