analysis_id,8f19avbm3p20ew5
mouse_strain,C57BL
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
pvalue,0.8957829
gene_symbol,Cdin1
