parameter_name,Neutrophils
analysis_id,71j8ll8hhrv5685
pvalue,0.6768963
gene_accession_id,MGI:2446274
parameter_id,IMPC_IMM_050_001
mouse_strain,C55BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
