gene_symbol,Fam163a
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
pvalue,0.05588947
gene_accession_id,MGI:3618859
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,C57BL
analysis_id,rk53m48cx9eb79d
