gene_symbol,Lime1
parameter_name,Tongue out
parameter_id,IMPC_GEP_083_001
mouse_strain,C59BL
pvalue,0.1059511
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
analysis_id,w0e61b330321qrt
