parameter_name,Red blood cell count
analysis_id,ynyg28034o50y13
parameter_id,IMPC_HEM_002_001
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.7034312
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
