gene_symbol,Frmpd1
analysis_id,74g41dg469a88bi
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.8245438
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
