gene_symbol,Tatdn3
mouse_strain,C57BL
gene_accession_id,MGI:1916222
analysis_id,q940m1f6sg3ljbz
pvalue,0.800684
mouse_life_stage,Early adult
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
