gene_symbol,Duoxa2
pvalue,0.53633
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
analysis_id,fg23jdx6lqk65z8
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
