analysis_id,jvy1639ma0jhu10
pvalue,0.4690178
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
