parameter_name,Tremor
analysis_id,3z41t9p4gmk5sd2
mouse_strain,C57BL
pvalue,0.1024694
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1914050
